Humidity,Temperature,Step_count,Stress_Level
27.77,96.77,190,high
10.29,79.29,29,low
18.72,87.72,53,mid
20.48,89.48,114,mid
24.33,93.33,130,high
15.42,84.42,87,mid
28.05,97.05,147,high
17.72,86.72,44,mid
12.22,81.22,40,low
18.52,87.52,33,mid
25.06,94.06,132,high
10.34,79.34,34,low
26.35,95.35,190,high
10.95,79.95,4,low
15.64,84.64,18,mid
10.48,79.48,48,low
12.25,81.25,43,low
14.73,83.73,18,low
20.97,89.97,125,mid
23.3,92.3,169,high
21.11,90.11,101,mid
19.36,88.36,116,mid
25.17,94.17,143,high
10.96,79.96,5,low
27.49,96.49,162,high
29.63,98.63,163,high
27.87,96.87,200,high
17.63,86.63,35,mid
29.2,98.2,191,high
24.43,93.43,140,high
20.07,89.07,111,mid
28.3,97.3,172,high
14.1,83.1,46,low
23.96,92.96,164,high
13.8,82.8,16,low
11.24,80.24,33,low
25.83,94.83,138,high
29.09,98.09,180,high
19.65,88.65,107,mid
15.12,84.12,57,mid
13.48,82.48,75,low
29.53,98.53,153,high
22.65,91.65,111,mid
22.38,91.38,114,mid
27.82,96.82,195,high
14.96,83.96,41,low
11.29,80.29,38,low
19.22,88.22,102,mid
10.82,79.82,82,low
26.05,95.05,160,high
23.68,92.68,136,high
28.64,97.64,135,high
13.72,82.72,8,low
19.05,88.05,86,mid
15.02,84.02,47,mid
20.23,89.23,127,mid
10.63,79.63,63,low
20.61,89.61,127,mid
11.07,80.07,16,low
16.97,85.97,60,mid
23.15,92.15,154,high
28.07,97.07,149,high
13.81,82.81,17,low
16.68,85.68,31,mid
27.95,96.95,137,high
14.9,83.9,35,low
17.87,86.87,59,mid
22.43,91.43,119,mid
13.36,82.36,63,low
17.34,86.34,6,mid
17.29,86.29,1,mid
15.87,84.87,41,mid
10.39,79.39,39,low
22.61,91.61,107,mid
23.33,92.33,172,high
29.12,98.12,183,high
26.27,95.27,182,high
25.52,94.52,178,high
19.3,88.3,110,mid
19.72,88.72,114,mid
16.57,85.57,20,mid
23.07,92.07,146,high
12.03,81.03,21,low
11.78,80.78,87,low
28.19,97.19,161,high
26.8,95.8,164,high
16.3,85.3,84,mid
20.87,89.87,115,mid
12.13,81.13,31,low
18.69,87.69,50,mid
13.83,82.83,19,low
17.27,86.27,90,mid
18.86,87.86,67,mid
24.13,93.13,181,high
16.39,85.39,2,mid
25.39,94.39,165,high
15.68,84.68,22,mid
27.76,96.76,189,high
17.68,86.68,40,mid
16.05,85.05,59,mid
12.62,81.62,80,low
22.11,91.11,125,mid
14.51,83.51,87,low
21.61,90.61,113,mid
22.54,91.54,100,mid
11.13,80.13,22,low
15.81,84.81,35,mid
23.06,92.06,145,high
16.98,85.98,61,mid
22.22,91.22,98,mid
13.67,82.67,3,low
11.46,80.46,55,low
13.1,82.1,37,low
24.66,93.66,163,high
10.28,79.28,28,low
11.98,80.98,16,low
26.28,95.28,183,high
20.65,89.65,93,mid
23.45,92.45,184,high
19.91,88.91,95,mid
24.21,93.21,189,high
13.39,82.39,66,low
28.77,97.77,148,high
18.34,87.34,15,mid
26.48,95.48,132,high
27.03,96.03,187,high
16.69,85.69,32,mid
25.42,94.42,168,high
17.08,86.08,71,mid
28.27,97.27,169,high
22.05,91.05,119,mid
24.91,93.91,188,high
16.95,85.95,58,mid
22.89,91.89,127,mid
24.98,93.98,195,high
29.84,98.84,184,high
25.09,94.09,135,high
22.49,91.49,125,mid
29.87,98.87,187,high
11.64,80.64,73,low
11.16,80.16,25,low
18.13,87.13,85,mid
10.03,79.03,3,low
11.81,80.81,90,low
24.96,93.96,193,high
23.63,92.63,131,high
27.29,96.29,142,high
10.66,79.66,66,low
18.02,87.02,74,mid
12.76,81.76,3,low
14.66,83.66,11,low
29.36,98.36,136,high
24.47,93.47,144,high
16.44,85.44,7,mid
16.09,85.09,63,mid
25.77,94.77,132,high
29.33,98.33,133,high
10.42,79.42,42,low
25.23,94.23,149,high
29.21,98.21,192,high
23.53,92.53,192,high
20.72,89.72,100,mid
19.81,88.81,123,mid
13.41,82.41,68,low
29.51,98.51,151,high
25.79,94.79,134,high
17.66,86.66,38,mid
11.12,80.12,21,low
17.52,86.52,24,mid
11.69,80.69,78,low
25.56,94.56,182,high
18.0,87.0,72,mid
17.46,86.46,18,mid
29.24,98.24,195,high
19.87,88.87,129,mid
20.59,89.59,125,mid
20.95,89.95,123,mid
11.95,80.95,13,low
13.02,82.02,29,low
12.48,81.48,66,low
29.57,98.57,157,high
19.82,88.82,124,mid
17.31,86.31,3,mid
11.93,80.93,11,low
25.99,94.99,154,high
18.8,87.8,61,mid
16.24,85.24,78,mid
19.17,88.17,97,mid
28.92,97.92,163,high
11.19,80.19,28,low
28.99,97.99,170,high
21.54,90.54,106,mid
27.01,96.01,185,high
16.22,85.22,76,mid
11.94,80.94,12,low
24.94,93.94,191,high
22.32,91.32,108,mid
27.68,96.68,181,high
29.88,98.88,188,high
26.33,95.33,188,high
13.21,82.21,48,low
27.09,96.09,193,high
24.18,93.18,186,high
27.41,96.41,154,high
14.89,83.89,34,low
21.1,90.1,100,mid
23.58,92.58,197,high
13.99,82.99,35,low
20.75,89.75,103,mid
27.08,96.08,192,high
21.37,90.37,127,mid
11.23,80.23,32,low
21.23,90.23,113,mid
25.13,94.13,139,high
15.74,84.74,28,mid
10.11,79.11,11,low
20.17,89.17,121,mid
10.57,79.57,57,low
22.53,91.53,129,mid
15.08,84.08,53,mid
12.39,81.39,57,low
15.56,84.56,10,mid
25.61,94.61,187,high
11.03,80.03,12,low
14.62,83.62,7,low
21.79,90.79,93,mid
15.66,84.66,20,mid
10.99,79.99,8,low
28.18,97.18,160,high
17.12,86.12,75,mid
16.96,85.96,59,mid
22.76,91.76,122,mid
18.14,87.14,86,mid
14.19,83.19,55,low
20.7,89.7,98,mid
17.67,86.67,39,mid
13.73,82.73,9,low
20.71,89.71,99,mid
13.27,82.27,54,low
23.39,92.39,178,high
11.44,80.44,53,low
26.15,95.15,170,high
14.68,83.68,13,low
23.03,92.03,142,high
22.3,91.3,106,mid
28.32,97.32,174,high
28.4,97.4,182,high
12.17,81.17,35,low
18.04,87.04,76,mid
10.9,79.9,90,low
12.12,81.12,30,low
19.66,88.66,108,mid
20.88,89.88,116,mid
14.5,83.5,86,low
12.51,81.51,69,low
14.2,83.2,56,low
11.79,80.79,88,low
16.27,85.27,81,mid
22.31,91.31,107,mid
10.67,79.67,67,low
13.07,82.07,34,low
15.03,84.03,48,mid
23.31,92.31,170,high
10.53,79.53,53,low
28.52,97.52,194,high
28.43,97.43,185,high
10.49,79.49,49,low
16.18,85.18,72,mid
22.52,91.52,128,mid
17.11,86.11,74,mid
13.55,82.55,82,low
28.23,97.23,165,high
26.2,95.2,175,high
26.04,95.04,159,high
25.59,94.59,185,high
25.8,94.8,135,high
23.69,92.69,137,high
15.41,84.41,86,mid
19.67,88.67,109,mid
21.07,90.07,97,mid
19.8,88.8,122,mid
25.33,94.33,159,high
13.45,82.45,72,low
21.19,90.19,109,mid
14.67,83.67,12,low
22.48,91.48,124,mid
29.13,98.13,184,high
17.71,86.71,43,mid
12.42,81.42,60,low
11.97,80.97,15,low
12.93,81.93,20,low
28.76,97.76,147,high
25.27,94.27,153,high
24.2,93.2,188,high
10.05,79.05,5,low
14.6,83.6,5,low
25.86,94.86,141,high
22.7,91.7,116,mid
17.75,86.75,47,mid
18.27,87.27,8,mid
28.61,97.61,132,high
11.61,80.61,70,low
29.6,98.6,160,high
26.12,95.12,167,high
15.19,84.19,64,mid
18.48,87.48,29,mid
22.28,91.28,104,mid
11.0,80.0,9,low
11.26,80.26,35,low
19.77,88.77,119,mid
23.23,92.23,162,high
18.66,87.66,47,mid
21.5,90.5,102,mid
12.83,81.83,10,low
24.9,93.9,187,high
27.46,96.46,159,high
29.56,98.56,156,high
19.63,88.63,105,mid
22.44,91.44,120,mid
13.74,82.74,10,low
26.4,95.4,195,high
19.62,88.62,104,mid
29.04,98.04,175,high
20.62,89.62,128,mid
12.38,81.38,56,low
18.21,87.21,2,mid
21.64,90.64,116,mid
18.24,87.24,5,mid
10.35,79.35,35,low
14.47,83.47,83,low
21.16,90.16,106,mid
16.63,85.63,26,mid
23.11,92.11,150,high
13.37,82.37,64,low
14.8,83.8,25,low
29.96,98.96,196,high
17.62,86.62,34,mid
29.28,98.28,199,high
17.97,86.97,69,mid
27.57,96.57,170,high
24.27,93.27,195,high
18.12,87.12,84,mid
23.02,92.02,141,high
26.08,95.08,163,high
20.04,89.04,108,mid
18.58,87.58,39,mid
13.76,82.76,12,low
16.9,85.9,53,mid
27.62,96.62,175,high
21.84,90.84,98,mid
26.97,95.97,181,high
19.6,88.6,102,mid
26.47,95.47,131,high
11.68,80.68,77,low
18.59,87.59,40,mid
20.25,89.25,129,mid
17.17,86.17,80,mid
24.92,93.92,189,high
23.87,92.87,155,high
22.87,91.87,125,mid
17.6,86.6,32,mid
14.86,83.86,31,low
19.71,88.71,113,mid
28.9,97.9,161,high
18.92,87.92,73,mid
26.49,95.49,133,high
19.02,88.02,83,mid
29.65,98.65,165,high
27.55,96.55,168,high
29.54,98.54,154,high
24.58,93.58,155,high
26.34,95.34,189,high
18.94,87.94,75,mid
14.27,83.27,63,low
28.82,97.82,153,high
14.78,83.78,23,low
15.77,84.77,31,mid
18.81,87.81,62,mid
12.44,81.44,62,low
27.33,96.33,146,high
24.63,93.63,160,high
20.82,89.82,110,mid
19.98,88.98,102,mid
18.63,87.63,44,mid
20.06,89.06,110,mid
17.51,86.51,23,mid
28.21,97.21,163,high
18.55,87.55,36,mid
20.28,89.28,94,mid
22.02,91.02,116,mid
29.52,98.52,152,high
28.71,97.71,142,high
10.83,79.83,83,low
15.17,84.17,62,mid
12.1,81.1,28,low
20.38,89.38,104,mid
26.57,95.57,141,high
19.31,88.31,111,mid
13.64,82.64,0,low
28.75,97.75,146,high
26.65,95.65,149,high
16.11,85.11,65,mid
26.29,95.29,184,high
22.6,91.6,106,mid
27.32,96.32,145,high
21.49,90.49,101,mid
19.5,88.5,92,mid
25.51,94.51,177,high
25.38,94.38,164,high
13.52,82.52,79,low
21.25,90.25,115,mid
14.45,83.45,81,low
11.28,80.28,37,low
12.65,81.65,83,low
10.18,79.18,18,low
17.8,86.8,52,mid
14.53,83.53,89,low
30.0,99.0,200,high
13.96,82.96,32,low
12.45,81.45,63,low
21.56,90.56,108,mid
17.43,86.43,15,mid
16.43,85.43,6,mid
22.34,91.34,110,mid
15.61,84.61,15,mid
13.38,82.38,65,low
11.62,80.62,71,low
15.92,84.92,46,mid
12.95,81.95,22,low
20.58,89.58,124,mid
23.08,92.08,147,high
27.83,96.83,196,high
28.11,97.11,153,high
25.18,94.18,144,high
29.71,98.71,171,high
19.46,88.46,126,mid
23.05,92.05,144,high
16.33,85.33,87,mid
12.24,81.24,42,low
22.15,91.15,129,mid
19.74,88.74,116,mid
17.25,86.25,88,mid
26.84,95.84,168,high
21.4,90.4,92,mid
28.91,97.91,162,high
20.56,89.56,122,mid
25.91,94.91,146,high
28.12,97.12,154,high
27.73,96.73,186,high
28.15,97.15,157,high
18.3,87.3,11,mid
24.79,93.79,176,high
25.07,94.07,133,high
24.3,93.3,198,high
15.32,84.32,77,mid
18.64,87.64,45,mid
21.81,90.81,95,mid
27.93,96.93,135,high
14.79,83.79,24,low
13.98,82.98,34,low
15.95,84.95,49,mid
16.0,85.0,54,mid
12.34,81.34,52,low
13.26,82.26,53,low
19.04,88.04,85,mid
28.37,97.37,179,high
10.69,79.69,69,low
18.67,87.67,48,mid
20.15,89.15,119,mid
17.99,86.99,71,mid
25.57,94.57,183,high
14.98,83.98,43,low
15.71,84.71,25,mid
21.72,90.72,124,mid
10.76,79.76,76,low
13.59,82.59,86,low
19.75,88.75,117,mid
15.25,84.25,70,mid
17.26,86.26,89,mid
13.65,82.65,1,low
10.54,79.54,54,low
22.84,91.84,122,mid
15.01,84.01,46,mid
10.02,79.02,2,low
13.11,82.11,38,low
23.37,92.37,176,high
16.59,85.59,22,mid
18.19,87.19,0,mid
13.14,82.14,41,low
18.54,87.54,35,mid
17.33,86.33,5,mid
14.02,83.02,38,low
24.57,93.57,154,high
24.76,93.76,173,high
15.93,84.93,47,mid
21.91,90.91,105,mid
19.78,88.78,120,mid
21.99,90.99,113,mid
20.74,89.74,102,mid
24.15,93.15,183,high
25.1,94.1,136,high
12.8,81.8,7,low
27.38,96.38,151,high
23.36,92.36,175,high
22.36,91.36,112,mid
14.87,83.87,32,low
23.5,92.5,189,high
17.1,86.1,73,mid
16.48,85.48,11,mid
25.37,94.37,163,high
11.34,80.34,43,low
19.76,88.76,118,mid
26.99,95.99,183,high
10.75,79.75,75,low
17.94,86.94,66,mid
19.24,88.24,104,mid
14.03,83.03,39,low
28.65,97.65,136,high
17.76,86.76,48,mid
12.16,81.16,34,low
29.9,98.9,190,high
18.97,87.97,78,mid
25.94,94.94,149,high
23.54,92.54,193,high
12.33,81.33,51,low
18.85,87.85,66,mid
20.4,89.4,106,mid
15.69,84.69,23,mid
28.17,97.17,159,high
20.8,89.8,108,mid
22.12,91.12,126,mid
18.42,87.42,23,mid
16.29,85.29,83,mid
28.79,97.79,150,high
14.81,83.81,26,low
29.61,98.61,161,high
13.92,82.92,28,low
23.9,92.9,158,high
29.05,98.05,176,high
24.17,93.17,185,high
18.2,87.2,1,mid
12.69,81.69,87,low
29.99,98.99,199,high
20.2,89.2,124,mid
24.03,93.03,171,high
20.41,89.41,107,mid
17.16,86.16,79,mid
24.69,93.69,166,high
15.09,84.09,54,mid
10.62,79.62,62,low
20.14,89.14,118,mid
15.55,84.55,9,mid
18.03,87.03,75,mid
19.83,88.83,125,mid
24.6,93.6,157,high
26.62,95.62,146,high
15.4,84.4,85,mid
26.75,95.75,159,high
17.45,86.45,17,mid
26.18,95.18,173,high
19.42,88.42,122,mid
24.99,93.99,196,high
22.85,91.85,123,mid
27.4,96.4,153,high
26.45,95.45,200,high
10.22,79.22,22,low
27.72,96.72,185,high
12.43,81.43,61,low
23.57,92.57,196,high
19.47,88.47,127,mid
12.36,81.36,54,low
26.56,95.56,140,high
21.03,90.03,93,mid
19.64,88.64,106,mid
18.75,87.75,56,mid
11.74,80.74,83,low
15.5,84.5,4,mid
29.93,98.93,193,high
14.01,83.01,37,low
12.04,81.04,22,low
13.34,82.34,61,low
10.32,79.32,32,low
28.03,97.03,145,high
29.59,98.59,159,high
15.04,84.04,49,mid
20.01,89.01,105,mid
15.38,84.38,83,mid
18.76,87.76,57,mid
22.91,91.91,130,high
14.32,83.32,68,low
23.49,92.49,188,high
10.26,79.26,26,low
27.97,96.97,139,high
14.41,83.41,77,low
11.73,80.73,82,low
16.23,85.23,77,mid
25.35,94.35,161,high
23.83,92.83,151,high
11.91,80.91,9,low
14.17,83.17,53,low
27.9,96.9,132,high
22.92,91.92,131,high
28.81,97.81,152,high
16.74,85.74,37,mid
18.1,87.1,82,mid
22.24,91.24,100,mid
23.85,92.85,153,high
28.54,97.54,196,high
20.77,89.77,105,mid
25.55,94.55,181,high
14.33,83.33,69,low
24.45,93.45,142,high
24.19,93.19,187,high
19.25,88.25,105,mid
28.42,97.42,184,high
22.27,91.27,103,mid
12.78,81.78,5,low
27.58,96.58,171,high
18.17,87.17,89,mid
17.19,86.19,82,mid
29.03,98.03,174,high
18.51,87.51,32,mid
28.83,97.83,154,high
13.2,82.2,47,low
22.96,91.96,135,high
15.52,84.52,6,mid
16.13,85.13,67,mid
18.44,87.44,25,mid
11.41,80.41,50,low
12.73,81.73,0,low
19.96,88.96,100,mid
29.97,98.97,197,high
14.55,83.55,0,low
25.85,94.85,140,high
15.45,84.45,90,mid
20.92,89.92,120,mid
19.13,88.13,93,mid
12.35,81.35,53,low
16.78,85.78,41,mid
26.66,95.66,150,high
23.19,92.19,158,high
18.39,87.39,20,mid
24.74,93.74,171,high
11.04,80.04,13,low
27.05,96.05,189,high
16.51,85.51,14,mid
29.31,98.31,131,high
19.35,88.35,115,mid
18.57,87.57,38,mid
17.73,86.73,45,mid
13.35,82.35,62,low
16.86,85.86,49,mid
22.5,91.5,126,mid
26.94,95.94,178,high
21.76,90.76,128,mid
10.56,79.56,56,low
28.24,97.24,166,high
12.82,81.82,9,low
19.15,88.15,95,mid
28.39,97.39,181,high
21.9,90.9,104,mid
23.48,92.48,187,high
27.34,96.34,147,high
24.71,93.71,168,high
13.47,82.47,74,low
25.03,94.03,200,high
29.7,98.7,170,high
19.9,88.9,94,mid
26.9,95.9,174,high
17.92,86.92,64,mid
13.25,82.25,52,low
24.12,93.12,180,high
10.55,79.55,55,low
